No;Title;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
212;METHOD OF FORMING SUPERCONDUCTING WIRING LAYERS WITH LOW MAGNETIC NOISE;"LANTING TREVOR MICHAEL [CA] 
LADIZINSKY ERIC [CA] 
YAO JASON [CA] 
OH BYONG HYOP [CA]";"D-WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC [CA]";"EP3195377A1 
EP3195377A4 
EP3195377B1";2014-08-13;"H01L39/02 
H01L39/22 
H01L39/24 
H01L21/768 
H01L27/18 
H01L23/532";"H01L21/76891 (EP,US) 
H01L23/53285 (EP,US) 
H01L27/18 (EP,US) 
H01L39/223 (EP,US) 
H01L39/2493 (EP,US)";"2017-07-26 
2017-08-23 
2021-12-15";2016-02-18;055304584
213;SYSTEMS AND METHODS FOR SUPERCONDUCTING FLUX QUBIT READOUT;BERKLEY ANDREW J [CA];"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"CA2814865A1 
CA2814865C";2010-11-11;G06E1/00;"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H03K19/195 (EP,US)";"2012-05-18 
2019-02-19";2012-05-18;046051566
214;METHOD AND CALCULATOR FOR MODELING NON-EQUILIBRIUM SPIN POLARIZED CHARGE TRANSPORT IN NANO-STRUCTURES;"GUO HONG [CA] 
WALDRON DEREK [CA] 
LARADE BRIAN [CA]";"GUO HONG [CA] 
WALDRON DEREK [CA] 
LARADE BRIAN [CA] 
UNIV MCGILL [CA]";"US2008170338A1 
US8082130B2";2007-01-16;"G11B5/33 
G06F17/10 
G06N99/00";"B82Y10/00 (EP) 
G11C11/16 (EP) 
H01L29/66984 (EP) 
H01L43/08 (EP)";"2008-07-17 
2011-12-20";2008-07-16;039617575
215;SYSTEMS AND METHODS FOR TUNING CAPACITANCE OF QUBITS;"MOLAVI REZA [CA] 
VOLKMANN MARK [CA] 
HOSKINSON EMILE [CA] 
HARRIS RICHARD [CA] 
LANTING TREVOR [CA] 
BUNYK PAUL [CA] 
BERKLEY ANDREW [CA]";D WAVE SYSTEMS INC [CA];WO2021126875A1;2019-12-20;"G06N10/00 
B82Y10/00";"G06N10/40 (EP) 
B82Y10/00 (EP)";2021-06-24;2021-06-24;076478273
216;KINETIC INDUCTANCE FOR COUPLERS AND COMPACT QUBITS;"SWENSON LOREN J [CA] 
STERLING GEORGE E G [CA] 
VOLKMANN MARK H [CA] 
ENDERUD COLIN C [CA]";D-WAVE SYSTEMS INC [CA];WO2020168097A1;2019-02-15;"G06N10/00 
H01L29/66 
B82Y10/00";"B82Y10/00 (EP) 
G06N10/00 (EP) 
G06N10/40 (US) 
H01L27/18 (EP,US) 
H01L39/025 (US) 
H01L39/223 (EP,US)";2020-08-20;2020-08-20;072045657
217;??? ?? ?? ?? ??, ?? ? ??? ?? ??? ? ??;MILLER MITCHELL [CA];MILLER MITCHELL [CA];KR20210114049A;2019-01-21;"G11C11/405 
G11C11/4091 
G11C11/4096 
G11C11/4097 
G11C11/419 
G11C11/56 
G11C7/06";"G06F3/0604 (US) 
G06F3/0655 (US) 
G06F3/0679 (US) 
G11C11/405 (KR) 
G11C11/4091 (KR) 
G11C11/4096 (KR) 
G11C11/4097 (KR) 
G11C11/419 (KR) 
G11C11/5642 (EP,KR) 
G11C11/565 (EP,KR) 
G11C7/062 (KR)";2021-09-17;2020-07-21;071729067
218;SYSTEMS AND METHODS FOR IMPROVING THE PERFORMANCE OF NON-STOQUASTIC QUANTUM DEVICES;AMIN MOHAMMAD [CA];D WAVE SYSTEMS INC [CA];WO2020210536A1;2019-04-10;"G06N10/00 
B82Y10/00";"G06N10/00 (EP) 
B82Y10/00 (EP)";2020-10-15;2020-10-15;072750626
219;Generating integers for cryptographic protocols;"GUTOSKI GUSTAV MICHAEL [CA] 
KELLY SHANE DANIEL [CA] 
STRUIK MARINUS [CA] 
YAMADA ATSUSHI [CA]";ISARA CORP [CA];US9780948B1;2016-06-15;"G06F7/58 
H04L9/06 
H04L9/26";"G06F7/58 (EP,US) 
G06F7/586 (US) 
G06F7/588 (US) 
H04L9/0662 (US) 
H04L9/0844 (EP) 
H04L9/3093 (EP,US) 
H04L9/3247 (US) 
H04L2209/08 (US)";2017-10-03;2017-10-03;059929244
220;Public key validation in supersingular isogeny-based cryptographic protocols;"KALACH KASSEM [CA] 
MOSUNOV ANTON [CA]";ISARA CORP [CA];US10218504B1;2018-02-02;"H04L29/06 
H04L9/08 
H04L9/14 
H04L9/30";"H04L9/0819 (US) 
H04L9/0841 (EP) 
H04L9/085 (US) 
H04L9/0852 (EP) 
H04L9/0861 (US) 
H04L9/14 (US) 
H04L9/3073 (US) 
H04L63/0428 (US)";2019-02-26;2019-02-26;065410782
221;SYSTEMS AND METHODS FOR SUPERCONDUCTING INTEGRATED CIRCUITS;"BERKLEY ANDREW J [CA] 
JOHNSON MARK W [CA] 
BUNYK PAUL I [CA]";"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"CA2786281A1 
CA2786281C";2010-01-15;"H01L39/00 
H01L39/02";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L23/53285 (EP,US) 
H01L27/18 (EP,US) 
H01L2924/0002 (EP,US) 
H01L2924/0002, H01L2924/00, ADD (EP,US)      ";"2011-07-21 
2019-04-02";2011-07-21;044276912
222;Pairing verification in supersingular isogeny-based cryptographic protocols;"KALACH KASSEM [CA] 
MOSUNOV ANTON [CA]";ISARA CORP [CA];US10116443B1;2018-02-02;"H04L9/08 
H04L9/30";"H04L9/002 (EP,US) 
H04L9/0819 (US) 
H04L9/0841 (EP,US) 
H04L9/085 (US) 
H04L9/0852 (EP,US) 
H04L9/0861 (US) 
H04L9/3066 (EP,US) 
H04L9/3073 (US)";2018-10-30;2018-10-30;063895167
223;SYSTEMS AND METHODS FOR OPERATING A QUANTUM PROCESSOR TO DETERMINE ENERGY EIGENVALUES OF A HAMILTONIAN;"AMIN MOHAMMAD H S [CA] 
HARRIS RICHARD G [CA] 
LANTING TREVOR MICHAEL [CA] 
SMIRNOV ANATOLY YU [CA]";"AMIN MOHAMMAD H S [CA] 
HARRIS RICHARD G [CA] 
LANTING TREVOR MICHAEL [CA] 
SMIRNOV ANATOLY YU [CA]";WO2014197001A1;2013-06-07;G06F19/00;"G06F15/82 (US) 
G06N10/00 (EP,US)";2014-12-11;2014-12-11;052008469
224;SYSTEMS AND DEVICES FOR QUANTUM PROCESSOR ARCHITECTURES;BUNYK PAUL [CA];DWAVE SYS INC [CA];"US2014097405A1 
US9178154B2";2012-10-09;"H01L49/00 
B82Y10/00 
G06N99/00 
H01L31/0352 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L31/035209 (EP,US) 
H01L31/035218 (EP,US) 
H01L39/22 (US) 
H01L49/006 (US)";"2014-04-10 
2015-11-03";2014-04-10;050432032
225;SYSTEMS AND DEVICES FOR QUANTUM PROCESSOR ARCHITECTURES;ROSE GEORDIE [CA];"ROSE GEORDIE [CA] 
DWAVE SYS INC [CA]";"US2009321720A1 
US8063657B2";2008-06-13;"H01L21/02 
H01L39/22 
H01L25/00 
H03K19/195";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2009-12-31 
2011-11-22";2009-12-31;041446289
226;SYSTEM AND METHOD FOR AUTONOMOUS SCANNING PROBE MICROSCOPY WITH IN-SITU TIP CONDITIONING;"RASHIDI MOHAMMAD [CA] 
WOLKOW ROBERT [CA]";QUANTUM SILICON INC [CA];WO2019178681A1;2018-03-19;"B82Y20/00 
G01Q70/08 
G06T1/40";"G01Q30/06 (EP,KR,US) 
G01Q80/00 (KR,US) 
G06N3/08 (KR,US) 
G01Q80/00 (EP)";2019-09-26;2019-09-26;067988264
227;SYSTEMS, METHODS, AND APPARATUS FOR CALIBRATING, CONTROLLING, AND OPERATING A QUANTUM PROCESSOR;"BERKLEY ANDREW J [CA] 
HARRIS RICHARD G [CA] 
AMIN MOHAMMAD [CA]";"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"EP2324444A2 
EP2324444A4 
EP2324444B1";2008-05-20;"G06F17/10 
G06F17/13 
G06F9/44 
G06G7/00 
G06G7/18 
G06N99/00 
B82Y10/00 
G06N10/00 
G06N5/00 
B82Y10/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G06N5/003 (EP) 
Y10S505/846 (EP,US)";"2011-05-25 
2014-08-13 
2021-04-07";2009-11-26;041340825
228;SYSTEMS AND METHODS FOR COUPLING A SUPERCONDUCTING TRANSMISSION LINE TO AN ARRAY OF RESONATORS;"WHITTAKER JED D [CA] 
SWENSON LOREN J [CA] 
VOLKMANN MARK H [CA]";D WAVE SYSTEMS INC [CA];WO2019168721A1;2018-02-27;"G06F13/38 
H03H11/04 
H03H2/00";"B82Y10/00 (EP) 
G06N10/00 (EP,US) 
H01L39/223 (US) 
H01P1/20381 (US) 
H03H2/005 (EP) 
H03H7/383 (EP,US)";2019-09-06;2019-09-06;067805909
229;SYSTEMS, DEVICES, ARTICLES AND METHODS INCLUDING LUMINESCENT LOCAL DEFECTS IN SEMICONDUCTORS WITH LOCAL INFORMATION STATES;"SIMMONS STEPHANIE [CA] 
THEWALT MICHAEL L W [CA]";PHOTONIC INC [CA];WO2019224789A1;2018-05-24;"G06N10/00 
H01L33/00";"B82Y10/00 (EP) 
B82Y20/00 (EP) 
G06N10/00 (US) 
G06N10/40 (EP) 
H01L33/025 (US) 
H04B10/70 (EP) 
B82Y10/00 (US) 
B82Y20/00 (US) 
H01L33/025 (EP) 
H01L33/06 (US)";2019-11-28;2019-11-28;068617160
230;RE-EQUILIBRATED QUANTUM SAMPLING;"AMIN MOHAMMAD H [CA] 
ANDRIYASH EVGENY A [CA]";D WAVE SYSTEMS INC [CA];"US10346508B2 
US2018196780A1";2017-01-12;"G06N99/00 
G06F17/13 
G06F17/17 
G06F17/18 
G06F5/01 
G06F9/30 
G06N10/00 
G06N7/00 
H04L9/08";"G06F17/13 (US) 
G06F17/17 (US) 
G06F17/18 (US) 
G06F5/01 (US) 
G06F9/30145 (US) 
G06N10/00 (EP,US) 
G06N7/005 (EP,US) 
H04L9/0852 (EP,US)";"2018-07-12 
2019-07-09";2018-07-12;062783103
231;CREDENTIAL DEVICE PAIRING;"LITTLE ZACHARY W [US] 
MICHAUD ALAIN LUC [CA]";"MICROSOFT CORP [US] 
LITTLE ZACHARY W [US] 
MICHAUD ALAIN LUC [CA]";"US2011113485A1 
US8776215B2";2009-11-06;"G06F21/00 
G06F12/00 
G06F12/14 
G06F13/00 
G06F17/30 
G06F21/31 
G06F7/04 
G11C7/00";"G06F21/31 (EP,US) 
G06F2221/2129 (EP,US)";"2011-05-12 
2014-07-08";2011-05-12;043975152
232;Cryptographic System and Method;CHEUNG ANDREW [CA];01 COMMUNIQUE LABORATORY INC [CA];US2021203502A1;2018-12-21;H04L9/30;"H04L9/002 (EP) 
H04L9/302 (US) 
H04L9/3026 (US) 
H04L9/304 (EP) 
H04L9/3066 (US) 
H04L9/3239 (EP) 
H04L9/3247 (EP) 
H04L9/50 (EP)";2021-07-01;2021-07-01;076545393
233;FREQUENCY MULTIPLEXED RESONATOR INPUT AND/OR OUTPUT FOR A SUPERCONDUCTING DEVICE;"BERKLEY ANDREW J [CA] 
SWENSON LOREN J [CA] 
VOLKMANN MARK H [CA] 
WHITTAKER JED D [CA] 
BUNYK PAUL I [CA] 
SPEAR PETER [CA] 
RICH CHRISTOPHER B [CA]";"D-WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC [CA]";"EP3266063A1 
EP3266063A4 
EP3266063B1";2015-05-14;"H01P7/08 
H01P7/10 
H03H7/01 
G06N99/00";"H01L39/223 (US) 
H01P7/08 (US) 
H01P7/105 (US) 
H03B15/003 (EP,US) 
H03H7/01 (US) 
G06N10/00 (EP,US) 
H03B2201/02 (EP,US)";"2018-01-10 
2018-11-07 
2020-03-18";2016-11-17;057248516
234;METHOD FOR MUTUAL SYMMETRIC AUTHENTICATION BETWEEN A FIRST APPLICATION AND A SECOND APPLICATION;"HUAPAYA LUIS MIGUEL [CA] 
PRADEN ANNE MARIE [FR]";"GEMALTO SA [FR] 
SAFENET CANADA INC [CA]";WO2018228732A1;2017-06-14;"H04L9/08 
H04L9/32";"H04L63/0435 (US) 
H04L63/061 (US) 
H04L9/0877 (EP,KR,US) 
H04L9/088 (EP,KR) 
H04L9/14 (US) 
H04L9/3218 (EP,KR,US) 
H04L9/3234 (EP,KR,US) 
H04L9/3273 (EP,KR) 
H04L9/50 (EP) 
H04L2209/127 (EP,KR) 
H04L9/50 (KR)";2018-12-20;2018-12-20;059579551
235;Scanner Parameter Techniques;NICULESCU MARIUS [CA];"MICROSOFT CORP [US] 
NICULESCU MARIUS [CA]";"US2009284807A1 
US8432577B2";2008-05-15;"H04N1/00 
G06F15/00 
H04N1/04 
H04N1/46";"H04N1/00206 (EP,US) 
H04N1/32507 (EP,US) 
H04N2201/0013 (EP,US) 
H04N2201/0017 (EP,US) 
H04N2201/0018 (EP,US) 
H04N2201/0093 (EP,US)";"2009-11-19 
2013-04-30";2009-11-19;041315888
236;OPTIMIZED ELECTROMAGNETIC FIELD ON SIDE-ON FT-ICR MASS SPECTROMETERS;BABA TAKASHI [CA];DH TECHNOLOGIES DEV PTE LTD [SG];WO2017093860A1;2015-11-30;"H01J49/00 
H01J49/06";"H01J49/38 (EP,US) 
H01J49/424 (EP,US) 
H01J49/4255 (EP,US)";2017-06-08;2017-06-08;058796421
237;POSITION-DETERMINISTIC MACHINE AND METHODS FOR NONDETERMINISTIC COMPUTING;"LI AIZHONG [CA] 
HE YUFU [CA]";LI AIZHONG [CA];US2018373819A1;2017-06-23;"G06F17/50 
G06N7/00";"G06F30/20 (US) 
G06N5/003 (EP) 
G06N5/025 (US) 
G06N7/005 (US) 
G06N10/00 (US) 
G06N3/123 (US)";2018-12-27;2018-12-27;064693301
238;SYSTEM, DEVICES AND METHODS FOR COUPLING QUBITS;HARRIS RICHARD G [CA];"DWAVE SYS INC [CA] 
HARRIS RICHARD G [CA]";"WO2009114805A2 
WO2009114805A3";2008-03-14;"G06N99/00 
H01F37/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2009-09-17 
2010-01-07";2009-09-17;041065864
239;SYSTEMS, DEVICES, ARTICLES, AND METHODS TO INTERACT WITH INFORMATION STORED IN ORBITAL STATES ASSOCIATED WITH SILICON DEFECTS;"SIMMONS STEPHANIE [CA] 
THEWALT MICHAEL L W [CA]";PHOTONIC INC [CA];WO2021022376A1;2019-08-06;"G06J1/00 
G06N10/00 
H01L29/04 
H01L31/173";"G06N10/00 (EP) 
H01L29/04 (EP) 
H01L29/122 (EP)";2021-02-11;2021-02-11;074502450
240;Performing block form reductions modulo non-Mersenne primes in cryptographic protocols;"DE QUEHEN VICTORIA [CA] 
KELLY SHANE DANIEL [CA]";ISARA CORP [CA];US10218494B1;2018-02-23;"H04L29/06 
H04L9/06 
H04L9/08";"G06F7/72 (EP) 
H04L9/0618 (US) 
H04L9/3247 (EP) 
H04L9/0825 (EP) 
H04L9/0841 (EP,US)";2019-02-26;2019-02-26;065410977
241;THE ZERO POINT PULSE ELECTRICAL GENERATOR;HAIMILA RAYMOND [CA];HAIMILA RAYMOND [CA];CA2998594A1;2018-03-21;"H02K1/06 
H02K1/12 
H02K1/27";"H02K39/00 (EP) 
H02K99/10 (EP)";2019-09-21;2019-09-21;067983046
242;MICROWAVE DEVICE AND METHOD OF OPERATION;"NAJAFI-YAZDI ALIREZA [CA] 
ETHIER-MAJCHER GABRIEL [CA]";ANYON SYSTEMS INC [CA];"US10958274B2 
US2020280317A1";2019-03-01;"G06N10/00 
G11C11/44 
H03K19/195 
H03K19/19";"G06N10/00 (EP,US) 
G11C11/44 (EP,US) 
H03K19/1952 (EP,US)";"2020-09-03 
2021-03-23";2020-09-03;072236432
243;QUANTUM PROCESSING OF FUNCTIONAL NEURAL IMAGING DATA;GILDERT SUZANNE [CA];DWAVE SYS INC [CA];WO2014055293A1;2012-10-01;A61B5/055;"A61B5/055 (EP) 
A61B5/377 (EP) 
A61B2576/026 (EP) 
A61B5/7232 (EP) 
A61B5/7282 (EP) 
G16H50/20 (EP,US)";2014-04-10;2014-04-10;050435330
244;METHODS AND SYSTEMS FOR SOLVING AN OPTIMIZATION PROBLEM USING A FLEXIBLE MODULAR APPROACH;"KUTTIMALAI SILVAN SHIWA [CA] 
ARAMON BAJESTANI MALIHEH [CA] 
ROSENBERG GILAD AMIR [CA] 
ROSE NATHAN ANDREW [CA] 
WOODS BRADLEY DAVID [CA]";1QB INF TECH INC [CA];WO2021237350A1;2020-05-27;"G06F17/10 
G06F17/11 
G06F3/048";"G06F17/11 (EP) 
G06F3/0482 (EP) 
G06F3/04842 (EP) 
G06F3/04847 (EP)";2021-12-02;2021-12-02;078745686
245;SYSTEMS AND METHODS FOR COUPLING QUBITS IN A QUANTUM PROCESSOR;"AMIN MOHAMMAD [CA] 
BUNYK PAUL [CA] 
LANTING TREVOR [CA] 
DENG CHUNQING [CA] 
SMIRNOV ANATOLY [CA] 
BOOTHBY KELLY [CA] 
HOSKINSON EMILE [CA] 
RICH CHRISTOPHER [CA]";D WAVE SYSTEMS INC [CA];WO2019126396A1;2017-12-20;"G06N10/00 
B82Y10/00";"B82Y10/00 (EP) 
G06N10/00 (EP,US) 
H01L39/025 (US) 
H01L39/223 (US) 
H01L29/66977 (EP)";2019-06-27;2019-06-27;066993840
246;SYSTEMS AND METHODS FOR ACHIEVING ORTHOGONAL CONTROL OF NON-ORTHOGONAL QUBIT PARAMETERS;"AMIN MOHAMMAD H S [CA] 
LANTING TREVOR MICHAEL [CA] 
ENDERUD COLIN [CA]";"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"US2015032993A1 
US9727823B2";2013-07-23;"G06F15/82 
G06N99/00 
G06F15/00 
G06F15/18";G06N10/00 (EP,US);"2015-01-29 
2017-08-08";2015-01-29;052391504
247;SYSTEMS AND METHODS FOR COUPLING BETWEEN QUBITS;"BUNYK PAUL I [CA] 
MOLAVI REZA [CA] 
BOOTHBY KELLY T R [CA] 
VOLKMANN MARK H [CA]";"D WAVE SYSTEMS INC [CA] 
BUNYK PAUL I [CA]";WO2022006114A1;2020-06-30;"G06N10/00 
H01L39/02 
B82Y10/00";"G06N10/40 (EP) 
H01L27/18 (EP) 
H01L39/025 (EP) 
B82Y10/00 (EP)";2022-01-06;2022-01-06;079315562
248;TREATING A SILICON ON INSULATOR WAFER IN PREPARATION FOR MANUFACTURING AN ATOMISTIC ELECTRONIC DEVICE INTERFACED WITH A CMOS ELECTRONIC DEVICE;"MARTINS BRUNO VIEIRA DA CUNHA [CA] 
WOLKOW ROBERT A [CA] 
TAUCER MARCO [CA] 
PITTERS JASON [CA]";"QUANTUM SILICON INC [CA] 
UNIV ALBERTA [CA] 
NAT RES COUNCIL CANADA [CA]";"US11232976B2 
US2021159116A1";2017-07-20;"H01L21/02 
H01L21/285 
H01L21/321 
H01L21/762 
H01L21/00 
H01L27/12";"H01L21/02057 (EP) 
H01L21/02096 (US) 
H01L21/2636 (EP) 
H01L21/28518 (US) 
H01L21/3212 (US) 
H01L21/326 (EP) 
H01L21/70 (EP) 
H01L21/76264 (US) 
H01L27/1203 (EP) 
H01L27/1207 (US) 
B82Y10/00 (EP) 
H01L21/8238 (EP)";"2021-05-27 
2022-01-25";2019-01-24;065014847
249;Graphics power savings system and method;"LUU VIET-TAM [US] 
PUEY PAUL [US] 
TRIANTOS NICK B [US] 
WEBSTER ANDREW [CA]";NVIDIA CORP [US];US7256788B1;2002-06-11;"G06F1/26 
G06F1/30 
G06T1/00 
G06T15/00 
G06F1/28 
G06F1/32 
G06F15/16";"G06F1/3203 (EP,US) 
G06F1/3243 (EP,US) 
G06T1/20 (EP,US) 
Y02D10/00 (EP,US)";2007-08-14;2007-08-14;038337057
250;WHOLE NUMBER MATHEMATICAL IMAGE METHODS AND SYSTEMS;MACDONALD PATRICK [CA];MACDONALD PATRICK [CA];US2021209194A1;2020-01-07;G06F17/17;"G06F17/10 (EP) 
G06F17/175 (US) 
G06F7/544 (EP)";2021-07-08;2021-07-07;076655431
251;QUBIT CIRCUIT AND METHOD FOR TOPOLOGICAL PROTECTION;"NAJAFI-YAZDI ALIREZA [CA] 
ETHIER-MAJCHER GABRIEL [CA] 
ARCHAMBAULT CHLOE [CA]";ANYON SYSTEMS INC [CA];WO2020069623A1;2018-10-03;"G06N10/00 
H01L39/02 
H01L39/22";"G06N10/00 (EP,US) 
H01L27/18 (US) 
H01L39/025 (US) 
H01L39/223 (US) 
H03K19/00346 (EP,US)";2020-04-09;2020-04-09;070052520
252;METHOD AND SYSTEM FOR SOLVING A DYNAMIC PROGRAMMING PROBLEM;RONAGH POOYA [CA];1QB INF TECH INC [CA];US2020349453A1;2019-05-01;"G06N10/00 
G06N20/00 
G06N5/04";"G06N10/00 (EP,US) 
G06N20/00 (US) 
G06N5/04 (US) 
G06N7/005 (EP)";2020-11-05;2020-11-05;073015950
253;Key encapsulation mechanisms;YAMADA ATSUSHI [CA];ISARA CORP [CA];US9912479B1;2017-06-09;"H03M13/11 
H04L9/00 
H04L9/06 
H04L9/08 
H04L9/14 
H04L9/30 
H04L9/32";"H03M13/1174 (US) 
H03M13/63 (EP,US) 
H04L9/002 (EP,US) 
H04L9/0869 (EP,US) 
H04L9/304 (EP,US) 
H03M13/116 (EP,US)";2018-03-06;2018-03-06;061257286
254;MOLECULAR COMPUTING METHODS AND SYSTEMS FOR SOLVING COMPUTATIONAL PROBLEMS;"ASPURU-GUZIK ALAN [CA] 
GUO SI YUE [CA] 
WU TONY CHANG-CHI [CA] 
FRIEDERICH PASCAL THOMAS [DE] 
GOLDSMITH RANDALL HOWARD [US] 
CRONIN LEROY [GB] 
SHARMA ABHISHEK [GB] 
CAO YUDONG [US] 
GIANNESCHI NATHAN C [US] 
FORMAN CHRISTOPHER JAMES [US]";"GOVERNING COUNCIL UNIV TORONTO [CA] 
WISCONSIN ALUMNI RES FOUND [US] 
UNIV GLASGOW COURT [GB] 
HARVARD COLLEGE [US] 
UNIV NORTHWESTERN [US]";WO2021081641A1;2019-10-28;"G06J1/00 
G06N99/00";"G06N99/007 (EP) 
G06N10/00 (EP) 
G06N5/003 (EP)";2021-05-06;2021-05-06;075714827
255;SYSTEMS AND METHODS FOR OPTIMIZATION OF INVESTMENT PORTFOLIOS;THOM MURRAY C [CA];DWAVE SYS INC [CA];US2013117200A1;2011-11-09;"G06N99/00 
G06Q40/06";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G06Q40/06 (EP,US)";2013-05-09;2013-05-09;048224406
256;SYSTEMS, DEVICES, ARTICLES, AND METHODS TO DIRECT OPTICAL SIGNALS USING LUMINESCENT DEFECTS IN SEMICONDUCTOR MATERIAL;SIMMONS STEPHANIE [CA];PHOTONIC INC [CA];WO2021051206A1;2019-09-20;"G02F1/025 
G06J1/00 
G06N10/00 
H04B10/278 
H04B10/40 
H04L29/06";"G02F1/025 (EP) 
H04B10/70 (EP) 
G06N10/00 (EP)";2021-03-25;2021-03-25;074882905
257;SYSTEMS AND METHODS FOR FINDING QUANTUM BINARY OPTIMIZATION PROBLEMS;"ISRAEL ROBERT [CA] 
MACREADY WILLIAM G [CA] 
BIAN ZHENGBING [CA] 
CHUDAK FABIAN [CA] 
RANJBAR MANI [CA]";"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"US10275422B2 
US2015205759A1";2013-11-19;"G06F17/11 
G06N99/00";"G06F17/11 (US) 
G06N10/00 (EP,US)";"2015-07-23 
2019-04-30";2015-07-23;053544948
258;WAVEGUIDE SANDWICH SOURCE OF POLARIZATION ENTANGLED PHOTONS;HORN ROLF TJALLE [CA];HORN ROLF TJALLE [CA];CA2854534A1;2010-11-10;"G02B1/00 
G02B6/122 
G02B6/126 
G02F1/365";"G02B6/122 (US) 
G02B6/126 (US) 
G02F1/3551 (EP,US) 
G02F1/3558 (EP,CN,US) 
G02F1/3775 (EP,CN,US) 
B82Y20/00 (US) 
G02F2201/18 (EP,CN,US) 
G02F2203/06 (EP,CN,US) 
Y10T156/10 (EP,US)";2012-05-18;2012-05-18;046050282
259;System of Methods and Apparati for Handling and Modifying Information Energy and Matter by Formative Resonance;VON BEZOLD ERNST [CA];;US2010172217A1;2009-01-08;G01V1/04;"C02F1/005 (EP,US) 
C02F2301/022 (EP,US) 
C02F2301/024 (EP,US) 
C02F2301/026 (EP,US)";2010-07-08;2010-07-08;042311621
260;Broadband Electromagnetic Radiators and Antennas;PODGORSKI ANDREW STAN [CA];PODGORSKI ANDREW STAN [CA];US2015207226A1;2014-01-22;H01Q3/26;"H01Q19/062 (EP) 
H01Q19/17 (EP) 
H01Q19/19 (EP)";2015-07-23;2015-07-23;053545624
261;SYSTEMS AND METHODS THAT FORMULATE PROBLEMS FOR SOLVING BY A QUANTUM PROCESSOR USING HARDWARE GRAPH DECOMPOSITION;"MACREADY WILLIAM [CA] 
ROY AIDAN PATRICK [CA]";"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"US2014324933A1 
US9875215B2";2012-12-18;"G06F17/10 
G06N99/00";"G06F17/10 (EP,US) 
G06N10/00 (EP,US) 
G06N5/003 (EP)";"2014-10-30 
2018-01-23";2014-10-30;051790214
262;USER INTERFACE, PROGRAMMER AND/OR DEBUGGER FOR EMBEDDING AND/OR MODIFYING PROBLEMS ON QUANTUM PROCESSORS;"THOM MURRAY C [CA] 
HANINGTON FIONA L [CA] 
CONDELLO ALEXANDER [CA] 
BERNOUDY WILLIAM W [CA] 
WONG MELODY C [CA] 
ROY AIDAN P [CA] 
BOOTHBY KELLY T R [CA] 
DAHL EDWARD D [US]";D WAVE SYSTEMS INC [CA];US2021263643A1;2020-02-24;"G06F16/901 
G06F3/0481 
G06F3/0484 
G06N10/00 
G06T11/20";"G06F16/901 (EP) 
G06F16/9024 (US) 
G06F3/04817 (US) 
G06F3/04847 (EP,US) 
G06F8/34 (EP) 
G06N10/00 (US) 
G06N10/20 (EP) 
G06N10/60 (EP) 
G06N10/80 (EP) 
G06T11/206 (US) 
G06T2200/24 (US)";2021-08-26;2021-08-26;077366160
263;Processing quantum information;"CORY DAVID G [CA] 
BORNEMAN TROY W [CA] 
GRANADE CHRISTOPHER E [AU]";"CORY DAVID G [CA] 
BORNEMAN TROY W [CA] 
GRANADE CHRISTOPHER E [AU] 
QUANTUM VALLEY INVEST FUND LP [CA]";US9663358B1;2011-07-19;"B82Y10/00 
G06F15/00 
G06F7/38 
G06F9/00 
G06F9/44";"B82Y10/00 (EP,US) 
G06F7/38 (EP,US) 
G06N10/00 (EP,US) 
H04L9/0855 (EP,US)";2017-05-30;2017-05-30;058738385
264;Determining upgradability scores and identifying remedial security measures in a computing environment;"TRUSKOVSKY ALEXANDER [CA] 
WILLIAMS ROBERT [CA] 
PANEZIC ALAN [US] 
LAFOREST MARTIN [CA]";ISARA CORP [CA];US11265159B1;2021-01-11;"G06F11/36 
G06F8/65 
H04L9/08";"G06F11/3006 (EP) 
G06F11/3466 (EP) 
G06F11/3688 (US) 
G06F21/00 (EP) 
G06F8/65 (US) 
H04L9/0852 (US) 
H04L9/0861 (US) 
G06F2201/875 (EP)";2022-03-01;2022-03-01;080442634
265;SYSTEMS AND METHODS FOR CALIBRATING THE ELEMENTS OF A QUANTUM PROCESSOR;HARRIS RICHARD G [CA];DWAVE SYS INC [CA];US2014229722A1;2013-02-08;G06F9/445;"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";2014-08-14;2014-08-14;051298331
